subclass,proportion
001 CLA-EPd-CTX Car3 Glut,0.0045227089028344125
002 IT EP-CLA Glut,0.0011942494392022595
003 L5/6 IT TPE-ENT Glut,0.002088801300505853
004 L6 IT CTX Glut,0.093778096647928
005 L5 IT CTX Glut,0.050939506497988396
006 L4/5 IT CTX Glut,0.1682574856281389
007 L2/3 IT CTX Glut,0.28080300787387275
009 L2/3 IT PIR-ENTl Glut,0.00014076704416452488
010 IT AON-TT-DP Glut,8.173570306327252e-05
020 L2/3 IT RSP Glut,0.0008536840097719574
022 L5 ET CTX Glut,0.05099853783908965
028 L6b/CT ENT Glut,1.3622617177212087e-05
029 L6b CTX Glut,0.013994968713389216
030 L6 CT CTX Glut,0.154198944701256
031 CT SUB Glut,0.00013622617177212087
032 L5 NP CTX Glut,0.02901163371506934
036 HPF CR Glut,0.00013622617177212087
037 DG Glut,1.3622617177212087e-05
042 OB-out Frmd7 Gaba,0.00012260355459490878
046 Vip Gaba,0.02284512900618467
047 Sncg Gaba,0.006479824903960549
049 Lamp5 Gaba,0.024557037898120988
050 Lamp5 Lhx6 Gaba,0.0006811308588606043
051 Pvalb chandelier Gaba,0.0018390533189236316
052 Pvalb Gaba,0.05222003251264633
053 Sst Gaba,0.037966234072890084
056 Sst Chodl Gaba,0.001911707277202096
061 STR D1 Gaba,2.2704361962020142e-05
062 STR D2 Gaba,2.7245234354424173e-05
064 STR-PAL Chst9 Gaba,4.086785153163626e-05
113 MEA-COA-BMA Ccdc42 Glut,0.00012260355459490878
