,gene,score,ISH,owned
57,Lrrtm4,0.920230084,poor,?
5,Brinp3,0.919640072,poor,?
80,Rbfox1,0.919362149,ok,?
90,St6galnac5,0.919345974,ok,?
95,Timp2,0.919144963,good,?
23,Cntn5,0.918817436,poor,?
50,Kcnip4,0.918442026,ok,?
65,Nkain2,0.918351774,none,?
16,Cdh13,0.918329907,good,?
75,Pcdh9,0.918168843,none,?
86,Slc24a2,0.917857258,good,?
59,Meis2,0.91783871,ok,?
68,Nrxn3,0.917817283,good,?
72,Pcdh15,0.917248568,ok,?
52,Kcnq5,0.917141211,ok,?
98,Zfp804b,0.917048694,none,?
38,Galntl6,0.917007787,good,?
15,Cdh12,0.916996778,ok,?
19,Chrm3,0.91691719,ok,?
24,Cntnap2,0.916598645,ok,?
45,Hs6st3,0.916542717,ok,?
46,Il1rapl2,0.916454102,poor,?
58,March1,0.916388984,none,?
93,Tenm2,0.916374875,poor,?
66,Nlgn1,0.916289403,ok,?
74,Pcdh7,0.916244502,ok,?
56,Lrrc4c,0.916223231,ok,?
48,Kcnc2,0.916034196,good,?
0,Alcam,0.916008336,ok,?
43,Grm5,0.915977147,ok,?
51,Kcnk2,0.915828757,ok,?
30,Dcc,0.915795386,none,?
62,Ncam2,0.915780315,ok,?
44,Grm8,0.915619891,ok,?
91,Stxbp6,0.915602767,ok,?
32,Dpp10,0.915588271,ok,?
94,Thsd7a,0.915573883,ok,?
55,Lrp1b,0.915509794,poor,?
60,Mgat4c,0.91539797,ok,?
29,Dab1,0.91536718,ok,?
53,Kctd16,0.915275282,ok,?
88,Sorcs3,0.915258268,ok,?
92,Tafa2,0.915255155,none,?
39,Gria1,0.915117963,good,?
14,Cck,0.91509458,good,?
63,Necab1,0.914945118,ok,?
64,Negr1,0.914937619,poor,?
11,Camk2n1,0.914897119,none,?
26,Cplx2,0.914858454,good,?
61,Ncald,0.914800983,ok,?
99,Zmat4,0.914745378,poor,?
83,Robo1,0.91474534,ok,?
25,Cntnap5a,0.914708169,none,?
36,Egfem1,0.914706453,poor,?
22,Cntn4,0.914689767,poor,?
69,Ntrk3,0.914596774,poor,?
76,Pcp4,0.914483681,good,?
10,Caln1,0.914434107,none,?
82,Rgs6,0.914334111,poor,?
27,Cpne4,0.914218912,ok,?
87,Slc24a3,0.914080369,,
85,Serpini1,0.914029961,,
70,Opcml,0.913766178,,
20,Clstn2,0.91375092,,
33,Dscaml1,0.913640412,,
47,Kcnab1,0.913629757,,
42,Grin2a,0.913623117,,
73,Pcdh17,0.913605031,,
96,Tox,0.913546246,,
97,Unc5d,0.913161001,,
2,Astn2,0.913017318,,
67,Nrg1,0.913007524,,
6,C1ql3,0.913006705,,
12,Car10,0.912978701,,
54,Lingo2,0.91293975,,
40,Gria4,0.912939487,,
81,Rgs4,0.91293422,,
8,Cadm2,0.912889671,,
3,Atp2b1,0.912880265,,
17,Cdh18,0.912876442,,
84,Sema3e,0.91286701,,
35,Efna5,0.912850362,,
21,Cnr1,0.912792773,,
77,Ppp3ca,0.912736235,,
79,Ralyl,0.912733909,,
71,Oxr1,0.912699632,,
31,Dlg2,0.912652127,,
41,Grik1,0.912615268,,
1,Asic2,0.912553319,,
4,Atp2b4,0.912552244,,
78,Prkcb,0.912469113,,
37,Etl4,0.912082446,,
18,Celf4,0.911990531,,
9,Calb1,0.911945512,,
34,Edil3,0.911932881,,
28,Ctnna2,0.911697541,,
7,Cacna2d3,0.911552142,,
89,Spon1,0.911535602,,
13,Cbln2,0.91121879,,
49,Kcnd2,0.91118328,,
