n_labels,accs,bits
124,0.5002004008016032,6.081664060199813
123,0.5028056112224449,5.974154726057948
121,0.5044088176352706,5.958705272386094
120,0.5068136272545091,5.950744310656276
119,0.5072144288577154,5.946132952588172
118,0.5082164328657315,5.941250532569123
112,0.5128256513026052,5.893295172003397
111,0.5134268537074147,5.886506895889824
110,0.5392785571142283,5.7794740925965655
109,0.5496993987975951,5.724981663442733
108,0.5511022044088175,5.712198279054113
107,0.5547094188376753,5.684815569258924
106,0.5581162324649298,5.646436525615571
105,0.5629258517034069,5.625530563510752
104,0.5901803607214429,5.501326868929833
103,0.5925851703406814,5.4793546185098885
102,0.594188376753507,5.4593047250313536
101,0.5955911823647295,5.439196206404434
100,0.6002004008016033,5.40589804240738
99,0.6014028056112224,5.392097838673848
98,0.6054108216432865,5.360313689556645
97,0.6078156312625251,5.344182042333465
96,0.6166332665330662,5.263584802281726
95,0.6182364729458919,5.247196443183908
94,0.6240480961923848,5.189698199760502
93,0.6328657314629258,5.133120429509363
92,0.6344689378757515,5.116453809018001
91,0.6360721442885772,5.097499506256212
90,0.6416833667334669,5.0515924796515925
89,0.6551102204408817,4.95431247276436
88,0.6601202404809621,4.928399177997621
87,0.6645290581162324,4.896269583113828
86,0.6705410821643286,4.840421185623465
85,0.6745490981963929,4.80599253010039
84,0.6797595190380761,4.761893751538483
83,0.6825651302605211,4.73768111417149
82,0.6903807615230462,4.680821366760075
81,0.6939879759519039,4.639951870758129
80,0.7014028056112224,4.585995600579381
79,0.7106212424849699,4.5570150273766865
78,0.7112224448897795,4.544504246841802
77,0.7122244488977956,4.524485344702292
76,0.7160320641282565,4.487033463717273
75,0.7206412825651303,4.443530621420001
74,0.7234468937875752,4.416450960328819
73,0.725050100200401,4.391579250322011
72,0.7296593186372745,4.3382794794104145
71,0.7342685370741483,4.29824643496186
70,0.7382765531062125,4.2622163171927685
69,0.7422845691382766,4.219941780741083
68,0.748496993987976,4.173562488615815
67,0.7505010020040079,4.153054621429629
66,0.7529058116232464,4.123189228830755
65,0.7577154308617235,4.084629255110606
64,0.7593186372745491,4.0690978083972205
63,0.7601202404809619,4.043672879302634
62,0.7647294589178356,3.9743802112469675
61,0.7717434869739479,3.890975124035353
60,0.7799599198396794,3.8280751188027144
59,0.7811623246492985,3.8150381694236484
58,0.7829659318637274,3.7992728491410976
57,0.7871743486973948,3.7535890523747573
56,0.7889779559118237,3.7276836039132655
55,0.7905811623246493,3.709219656248043
54,0.7917835671342685,3.6933817750354634
53,0.793186372745491,3.6698401509232115
52,0.7935871743486974,3.656719441385133
51,0.8058116232464929,3.5663591573846714
50,0.8072144288577154,3.5451708046618537
49,0.8144288577154309,3.4926586699229873
48,0.8216432865731462,3.417039675837073
47,0.824448897795591,3.388276030069635
46,0.82625250501002,3.3619008689151033
45,0.8278557114228458,3.3458147037931893
44,0.8312625250501002,3.307699956300367
43,0.8352705410821644,3.251240888270313
42,0.8368737474949899,3.2455435080502024
41,0.8555110220440882,3.074527633572892
40,0.8627254509018035,2.9861534781864254
39,0.8663326653306613,2.952026339403633
38,0.8755511022044088,2.8506963032747863
37,0.8819639278557114,2.7452802417437807
36,0.8835671342685372,2.7060653160579435
35,0.885571142284569,2.6739313197269308
34,0.8895791583166333,2.61693570378886
33,0.8927855711422845,2.568455091463725
30,0.8951903807615231,2.528349635424804
29,0.8951903807615231,2.5109109650471515
28,0.908817635270541,2.345940781860752
27,0.9120240480961923,2.3109263511633658
26,0.9144288577154308,2.2574263976052
25,0.9244488977955913,2.141874681168969
24,0.9258517034068137,2.1141708321782042
23,0.9306613226452907,2.0391470946641532
22,0.9360721442885771,1.9895789309158038
21,0.9364729458917835,1.9698505610505774
20,0.9392785571142284,1.9437690557355742
19,0.9402805611222446,1.9314555080042795
17,0.9408817635270541,1.9006469871770124
16,0.9501002004008017,1.7943550817523704
15,0.9539078156312625,1.7185606215313896
14,0.9591182364729459,1.6246616806625636
13,0.9629258517034067,1.5284815363530044
12,0.9641282565130261,1.485205013037828
11,0.9651302605210421,1.4543649741135303
10,0.9669338677354709,1.3714902300312994
9,0.9719438877755511,1.2863447728995057
8,0.9903807615230461,0.6975913458369034
7,0.9933867735470943,0.598757880366573
6,0.9973947895791584,0.5038012394602227
1,1.0,0.0
